common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),,last_measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,tree_type,has_photo,all photo LINK,highside_DBH(m),rank,top_lists,tree_sp_code,sp_split_range,datum,Year_only _last_measured,Year_only_nominated
amabilis fir,431,Two-Headed Boy,372,63,1.27,9,,7/18/2016,7/26/2016,Stoltmann Grove,Youbou,Parks/reserves,Carmanah Walbran PP,48.6553,-124.69479,,"From the Carmanah Walbran parking lot (access from Rosander Main), follow signs for the Valley Mist trail. Where this trail hits a tee, go right following signs for the heaven tree/Stoltmann grove. Where the trail ends (at the large Sitka spruce with a prominent trailside burl), it tees into a dry creekbed running ~parallel to the active river system (NE - SW). The tree is ~75m heading left down the creekbed, on the right hand side. It can be viewed from points near the end of the trail, and from atop a fallen amabilis fir off to the right of the trail which goes over the creekbed.","Near the edge of a dry creekbed. Very narrow and straight, with a pronounced forked crown starting approximately 2/3 up the tree. Both tops are similar in height. Bark covered in moss for several meters. Much of the stem is visible from the vantage points.",Jon Degner,Vincent Hanlon,,,Vincent Hanlon,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/431_Ba_Two_headed_boy.jpg"" target=""_blank"">1</a>            ",,11,2,1,,,2016,2016
amabilis fir,1989,,371,59.4,1.37,8,,5/9/2025,12/9/2025,Loup Creek,Gordon River,Forest License,K5U,48.685722,-124.441935,230,The tree is located in a large OGMA on the east side of Loup Creek. Park on Gordon River Main just past the Loup Creek bridge and hike along the slopes until you reach the tree.,"Beautiful, dominant fir with a tight crown growing in a mixed hemlock, Abies, and cedar stand. Gentle E aspect. Sparse blueberry and sword fern understory.",Jon Degner,Katie Nott,,,Jon Degner,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/12/1989_Ba_Loup_JD_2.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/12/1989_Ba_Loup_JD_1.jpg"" target=""_blank"">2</a>         ",,12,2,1,,WGS 84,2025,2025
amabilis fir,1943,Firdinand,367,58.6,1.35,9.5,,4/5/2025,11/29/2025,Saunders Creek,Gold River,Tree Farm Lic.,19,49.84103,-126.03047,476,"From Gold River, drive east on Highway 28 for 7 km to Saunders Main. Turn left onto Saunders Main and drive for 4.9 km. Road has several tight manauvers requiring a narrower vehicle with four wheel drive. Hike uphill into forest navigating to tree.","Western hemlock and amabilis fir dominated forest. Forest is sloping towards Saunders Creek. Understory contains deer fern, step moss, five-leaved bramble, and red huckleberry.",Iain Reid,Gemma Kellett,,,Iain Reid,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/12/1943_Ba_Firdinand_IR_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/12/1943_Ba_Firdinand_IR_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/12/1943_Ba_Firdinand_IR_3.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/12/1943_Ba_Firdinand_IR_4.jpg"" target=""_blank"">4</a>   ",,13,2,1,,,2025,2025
amabilis fir,458,LT# C4DT-005,364,58,1.32,10.8,,5/13/2019,5/6/2019,Kite Lake,Macoah,Provincial land,BCTS Legacy Tree,49.050389,-125.271667,525,"Take Hiway 4 west from Port Alberni. Drive approximately 80km to the Maggie Lake FSR. Turn left and follow Maggie FSR for 11km to Macoah Villagfe turn-off. Keep left on Maggie FSR and drive another 4km to the end of Maggie FSR. Keep left and you are now on Toquaht FSR. Drive 9km to the junction with Lucky FSR. Turn right onto Lucky FSR and drive 2.5km to the junction with Black Peaks FSR. Keep left and follow Lucky FSR for another 2.4km. You will pass two lakes on your right. The second (and larger lake is Kite Lake). Once past Kite Lake, you will come to a major junction. Keep right and continue along Lucky FSR for another 1.4km. there will be a deactivated and brushed in spur road on your right. This is the start of teh rough trail up to Block F004C4DT. Hike up the spur for 700m to a very overgorwn junction. Keep to the left and hike a further 450 m. You will come across some yellow flagging that indicates a rough trail up to F004C4DT. The trail heads upslope from the spur road and is heavy going through an advanced plantation for approximately 150m. Once you reach the Old-growth it is easy but steep hiking. From the end of the flagged trail, continue up slope heading directly south for approximately 170m until you reach the upper falling boundary. The Amabilis fir (5 trees) will be visible both ahead of you and slightly to the right. To reach Cypress, continue angling upslope in a southeasterly direction along the base of the steep rock outcops. You will find C4DT-002 after hiking/climbing for 350m. Tree C4DT is approximately 145m above the first Cypress. Follow the rock bluff uphill (keeping the gully to your left). C4DT-001 is approximately 150m upslope and is situated on a rock knob in a nice open area of timber.",C4DT-005 is located in the CWHvm2(01) and is situated on a small bench mid-slope with a NE aspect.,BCTS Legacy Trees,,,,Greg Herringer,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/458_Ba_KL_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/458_Ba_KL_2.jpg"" target=""_blank"">2</a>         ",,14,2,1,,,2019,2019
amabilis fir,567,Wax Palm,363,61.1,1.27,6,,9/7/2020,1/6/2020,Upper Valley Trail,Youbou,Parks/reserves,Carmanah Walbran PP,48.67264,-124.6809,188,Hike northward along Upper Valley Trail to gps location. The tree is inconspciously in a dense grove about 30m west of trail. - likely not possible to find without gps coordinates. ,Dense forest and adjacent to trail.,Ira Sutherland,Sharlene Kaoti-Salgado,,,Ira Sutherland,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/567_Ba_UpperValley_WaxPalm_IS.jpg"" target=""_blank"">1</a>            ",,15,2,1,,WGS 84,2020,2021
amabilis fir,457,LT# C4DT-004,358,56,1.35,10.3,,5/13/2019,5/6/2019,Kite Lake,Macoah,Provincial land,BCTS Legacy Tree,49.050236,-125.271944,525,"Take Hiway 4 west from Port Alberni. Drive approximately 80km to the Maggie Lake FSR. Turn left and follow Maggie FSR for 11km to Macoah Villagfe turn-off. Keep left on Maggie FSR and drive another 4km to the end of Maggie FSR. Keep left and you are now on Toquaht FSR. Drive 9km to the junction with Lucky FSR. Turn right onto Lucky FSR and drive 2.5km to the junction with Black Peaks FSR. Keep left and follow Lucky FSR for another 2.4km. You will pass two lakes on your right. The second (and larger lake is Kite Lake). Once past Kite Lake, you will come to a major junction. Keep right and continue along Lucky FSR for another 1.4km. there will be a deactivated and brushed in spur road on your right. This is the start of teh rough trail up to Block F004C4DT. Hike up the spur for 700m to a very overgorwn junction. Keep to the left and hike a further 450 m. You will come across some yellow flagging that indicates a rough trail up to F004C4DT. The trail heads upslope from the spur road and is heavy going through an advanced plantation for approximately 150m. Once you reach the Old-growth it is easy but steep hiking. From the end of the flagged trail, continue up slope heading directly south for approximately 170m until you reach the upper falling boundary. The Amabilis fir (5 trees) will be visible both ahead of you and slightly to the right. To reach Cypress, continue angling upslope in a southeasterly direction along the base of the steep rock outcops. You will find C4DT-002 after hiking/climbing for 350m. Tree C4DT is approximately 145m above the first Cypress. Follow the rock bluff uphill (keeping the gully to your left). C4DT-001 is approximately 150m upslope and is situated on a rock knob in a nice open area of timber.",C4DT-004 is located in the CWHvm2(01) and is situated on a small bench mid-slope with a NE aspect.,BCTS Legacy Trees,,,,Greg Herringer,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/457_Ba_KL_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/457_Ba_KL_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/457_Ba_KL_3.jpg"" target=""_blank"">3</a>      ",,16,2,1,,,2019,2019
amabilis fir,568,,351,55.3,1.34,4.3,,9/7/2020,1/6/2020,Upper Valley Trail,Youbou,Parks/reserves,Carmanah Walbran PP,48.66475,-124.69024,185,"Hike Northward along Upper Valley Trail to gps location. The tree is highly visible from the trail, at a point roughly 60m to the south. It is located only about 10m from the trail at the top of an eroding cut bank. ",Grows on upper bench with other Amabilis fir and some Sitka Spruce. Is located near to a cut bank being eroded by Carmanah River,Ira Sutherland,Sharlene Kaoti-Salgado,,,Ira Sutherland,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/568_Ba_UpperValley_2_IS_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/568_Ba_UpperValley_2_IS_2.jpg"" target=""_blank"">2</a>         ",,17,2,1,,WGS 84,2020,2021
amabilis fir,456,LT# C4DT-003,337,56,1.17,8.7,,5/13/2019,5/6/2019,Kite Lake,Macoah,Provincial land,BCTS Legacy Tree,49.050102,-125.271667,545,"Take Hiway 4 west from Port Alberni. Drive approximately 80km to the Maggie Lake FSR. Turn left and follow Maggie FSR for 11km to Macoah Villagfe turn-off. Keep left on Maggie FSR and drive another 4km to the end of Maggie FSR. Keep left and you are now on Toquaht FSR. Drive 9km to the junction with Lucky FSR. Turn right onto Lucky FSR and drive 2.5km to the junction with Black Peaks FSR. Keep left and follow Lucky FSR for another 2.4km. You will pass two lakes on your right. The second (and larger lake is Kite Lake). Once past Kite Lake, you will come to a major junction. Keep right and continue along Lucky FSR for another 1.4km. there will be a deactivated and brushed in spur road on your right. This is the start of teh rough trail up to Block F004C4DT. Hike up the spur for 700m to a very overgorwn junction. Keep to the left and hike a further 450 m. You will come across some yellow flagging that indicates a rough trail up to F004C4DT. The trail heads upslope from the spur road and is heavy going through an advanced plantation for approximately 150m. Once you reach the Old-growth it is easy but steep hiking. From the end of the flagged trail, continue up slope heading directly south for approximately 170m until you reach the upper falling boundary. The Amabilis fir (5 trees) will be visible both ahead of you and slightly to the right. To reach Cypress, continue angling upslope in a southeasterly direction along the base of the steep rock outcops. You will find C4DT-002 after hiking/climbing for 350m. Tree C4DT is approximately 145m above the first Cypress. Follow the rock bluff uphill (keeping the gully to your left). C4DT-001 is approximately 150m upslope and is situated on a rock knob in a nice open area of timber.",C4DT-003 is located in the CWHvm2(07) and is situated midslope on a small colluvial fan with a near-vertical rock wall approximately 25m to the East. The slope is approximately one of 75% with a N aspect.,BCTS Legacy Trees,,,,Greg Herringer,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/456_Ba_KL_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/456_Ba_KL_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/456_Ba_KL_3.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/456_Ba_KL_4.jpg"" target=""_blank"">4</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/456_Ba_KL_C4DT-003(5).jpg"" target=""_blank"">5</a>",,18,2,1,,,2019,2019
amabilis fir,1495,,290,41.2,1.17,12,,4/14/2023,3/8/2024,Rosander Main,Youbou,Parks/reserves,Pacific Rim NP,48.695833,-124.739722,50,"From Lake Cowichan drive on North or South Shore Roads to Nitnat Main, follow signage for Carmanah PP, follow Rosander Main to 19 km marker",,Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/01/1495_Ba_Cheewhat_TN_2.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/01/1495_Ba_Cheewhat_TN_3.jpg"" target=""_blank"">2</a>         ",,19,2,1,,,2023,2024
amabilis fir,488,Loup Amabilis,,44,1.32,,,3/15/2020,4/1/2020,Loup Creek,Port Renfrew,Tree Farm Lic.,46,48.69127,-124.437653,,Involves a bushwhack in from the forest service road running along Loop Creek.,,Matthew Beatty,TJ Watt,,,Matthew Beatty,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/488_Ba_LoupCreek_TW.jpg"" target=""_blank"">1</a>            ",,,,1,,,2020,2020
arbutus,281,,"398""",27,2.26,25.6,,8/27/2021,11/20/2002,Nanoose Transmit,Parksville,Woodlot Lic.,13,49.27415,-124.222067,,"Nanoose Transmitter Site, Woodlot #13.",Healthy.,Tom Gray,,,,Bill Beese,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/01/281_Ra_Nanoose_MB_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/01/281_Ra_Nanoose_BB_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/01/281_Ra_Nanoose_AL_2.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/01/281_Ra_Nanoose_AL_3.jpg"" target=""_blank"">4</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2025/01/281_Ra_Nanoose_BB_1.jpg"" target=""_blank"">5</a>",,multi,,10,,,2021,2002
arbutus,423,Cloake Hill Colossus,"388""",39.3,1.92,27.1,,2/16/2016,2/12/2016,Cloake Hill,North Saanich,Private land,,48.68835,-123.442833,104,"The tree is near the intersection of Hillgrove Rd. and Sumac Dr. in North Saanich, approximately 150m west of Sumac and 50m north of Hillgrove.  The property is sign posted private property but public access is permitted by Strata #804.",The tree branches into three vertical columns at approximately 1.5 meters.  It is in good health.  The terrain is gentle to moderate slope (3-12%) with numerous gaps and openings.   A couple of fir trees are growing up with in its canopy.,Ray Rogers,,,,Gordon Joyce,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/423_Ra_Cloake_1b.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/423_Ra_Cloake_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/423_Ra_Cloake_3.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/423_Ra_Cloake_4.jpg"" target=""_blank"">4</a>   ",,multi,,10,,,2016,2016
arbutus,562,,"362""",21.2,2.2,25.8,,2/7/2021,12/28/2020,East Saanich Road,Saanichton,Municipal/city,,48.60853,-123.42113,,Right off footpath that runs parallel to East Saanich Road. Easily accessible.,"Height to dead top 26.2, height to live top 21.2",Simon Lightbody,,,,Hans Roemer,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/562_Ra_EastSaanich_HR_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/562_Ra_EastSaanich_HR_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/562_Ra_EastSaanich_SL.jpg"" target=""_blank"">3</a>      ",,multi,,10,,,2020,2020
arbutus,1310,,"340""",20.1,2.08,20,,4/6/2022,1/24/2023,Beachcomber RP,Nanoose,Parks/reserves,Beachcomber RP,49.312785,-124.213619,5,Marina Way,"This tree has five stems.  Growing almost at tide level, this sprawling tree dominates the beach, and is easily accessed via a short, well maintained trail. Washrooms are available at the trailhead.",Terry Nelson,,,,Terry Nelson,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1310_Ra_Beachcomber_TN_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1310_Ra_Beachcomber_TN_2.jpg"" target=""_blank"">2</a>         ",,multi,,10,,,2022,2023
arbutus,233,,344,22.9,2.03,21.3,,5/31/2000,5/31/2000,North End Rd.,Salt Spring Island,Private land,,48.881067,-123.530349,,Private land - please respect private property and view from a distance.  The tree is at 1077 North End Rd.,Healthy.,Karl Fuss,,,,Gerard Blom,b,0,,,1,1,10,,,2000,2000
arbutus,234,,338,26.5,1.86,25.2,,1/31/2000,1/31/2000,Burgoyne Bay,Salt Spring Island,Institution/corp.,Texada Land Corp.,48.801644,-123.528275,,Private land - please respect private property and view from a distance.,,Kathy Dunster,,,,Kathy Dunster,b,0,,,2,1,10,,,2000,2000
