common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last_measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,tree_type,has_photo,all photo formula,highside_DBH(m),top_lists,tree_sp_code,sp_split_range
bigleaf maple,56,,"533""",29,3.41,20,1992,1980,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.304988,-123.152831,40,"Follow Rawlings Trail ~200m south of Hollow Tree to large trailside maple (tree 54). Target tree is visible ~50m east. Follow 2019 gps coordinates, which should be accurate to <6m. ","2019 (DBH 3.37, Crown 22.3); 2016 (Ht 32.1, DBH 3.35). Middle slope, straight.  WSW aspect, ca. 10% slope.",Randy Stoltmann,,,,Randy Stoltmann,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/56_Mb_Hollow_AL.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/56_Mb_StanleyPark_IS_1.jpg"" target=""_blank"">2</a>         ",,1,6,
bigleaf maple,54,,505,29.5,3.19,17,2019,1980,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.30492,-123.15322,40,"Immediately adjacent Rawlings Trail, ~200m south of Hollow Tree. Follow 2019 gps coordinates, which should be accurate to <6m. ",Lots of cobbles on mid slope site. Mostly second-growth conifers believed to have regenerated following Hurricane Freda (1962).,Randy Stoltmann,,,,Ira Sutherland,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/54_Mb_StanleyPark_IS_1.jpg"" target=""_blank"">1</a>            ",,1,6,
bigleaf maple,194,,482,29.45,2.95,26.5,2019,1999,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.30446,-123.15134,40,"Off trail roughly equidistant between Lake Trail, Thompson Trail, and Meadow Trail. ",Lots of cobbles on mid to upper slope site. Moslty second-growth conifers believed to have regenerated following Hurricane Freda (1962).,Shaun Muc,,,,Ira Sutherland,b,0,            ,,1,6,
bigleaf maple,191,Duncan Maple,481,27.4,2.93,33.5,1999,1999,Harrison Mills,Harrison Mills,Private land,,no access,,,Private land - exact location is withheld.,"Healthy with low forking branches, massive crown spread, and oval trunk.  The tree is 13 feet (maybe more) at its widest. The crown is wider than the tree is tall.",Shaun Muc,,,,Shaun Muc,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/191_Mb_HarrisonM_SM_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/191_Mb_HarrisonM_SM_2.jpg"" target=""_blank"">2</a>         ",,1,6,
bigleaf maple,135,,461,26.8,2.86,22.9,2000,1992,Camp River Rd.,Chilliwack,Private land,,49.195618,-121.846783,,"Private land - please respect private property and view from a distance.  
Tree is at 48670 Camp River Rd.",Healthy with some rot in center and an unusually massive single trunk.,Ralf Kelman,,,,Ralf Kelman,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/135_Mb_CampRR_sm_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/135_Mb_CampRR_sm_2.jpg"" target=""_blank"">2</a>         ",,1,6,
bigleaf maple,1134,,461,42.4,2.45,22.7,2022,2022,Skumalasph Island,Deroche,First Nations,Skumalasph IR 16,49.190067,-122.040762,14,"From Highway 7 near Deroche, turn East on to Malcom Road, turning right a short ways after onto Dyke Road. Park at the gate and walk south along Dyke Road until you find a place clear enough to enter the forest and bushwhack to the tree. Proceed with caution, as this Island is full of blackberry and bushwhacking is very difficult. Request permission from Bands before access.",,Sean O'Rourke,Colin Spratt,Ian Thomas,,Sean O'Rourke,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1134_Mb_Skumalasph_SO_1.jpg"" target=""_blank"">1</a>            ",,1,6,
bigleaf maple,222,,438,27.7,2.64,24.1,2000,2000,Miracle Valley,Durieu,Private land,,49.199251,-122.259822,,"Private land - please respect private property and view from a distance.  
Tree is near Dale Rd. and Stave Lake Rd., south west of Durieu.","Healthy, thick swollen base. Sitting beside four large firs.",Shaun Muc,,,,Shaun Muc,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/222_Mb_MiracleV_SM_1.jpg"" target=""_blank"">1</a>            ",,1,6,
bigleaf maple,190,,406,31.1,2.3,22.6,1999,1999,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.30443,-123.151369,,North of Tatlow Walk.,"Old, hollow on north side, large round crown.",Shaun Muc,,,,Shaun Muc,b,0,,,1,6,
bigleaf maple,255,Beaton's Maple,403,26.1,2.36,31.1,2001,2001,Emmonds R.,Powell River,Private land,,missing,,,,,Ian Beaton,,,,R. Brewer,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/255_Mb_Emmons_CH_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/255_Mb_Emmons_CH_2.jpg"" target=""_blank"">2</a>         ",,1,6,
bigleaf maple,452,Woolly Giant,"369""",24.1,2.16,26.1,2019,2019,Mossome Grove,Port Renfrew,Woodlot Lic.,1957,hidden,,,Near the San Juan Giant (ID# 175),The most notable feature of this super shaggy maple tree is an enormously long branch the extends roughly 20m out from the trunk of the tree!!,TJ Watt,Ken Wu,Andrea Inness,,A MacKinnon,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/452_Mb_Mossome_Woolly1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/452_Mb_Mossome_Woolly1b.jpg"" target=""_blank"">2</a>         ",,1,6,
bigleaf maple,1143,Montgomery,346,31.5,1.77,28.5,2022,2022,Sayward Rd,Sayward,Private land,,50.3225032,-125.9199697,20,"Private land - please respect private property. Tree is located about 50 m from the owner's residence.  Persons wishing to view the tree are requested to contact the land owner at 778 557 7776. The tree is located on a property adjacent to Sayward Road, which is the access road between Highway 19 and the Village of Sayward.  Sayward is located on North-central Vancouver Island, about 80 km North-west of Campbell River. When driving from Campbell River, proceed North on Highway 19 to the intersection with Sayward Rd. (aka Sayward Junction).  Turn right onto Sayward Road and drive 2 km North to 1458 Sayward Rd.  The tree is approximately 300 m down the private driveway.  Permission must be obtained before entering the property.","The tree appears to be healthy.  It has four main trunks, all approximately the same size.  This past winter, a large number of medium-sized branched were broken off due to the abnormally high snowfall. The tree is located on one corner of a cleared field.  The surrounding growth is sparse mixed deciduous and conifer, with most of the Alders logged off 3 to 4 years ago.",Ken McRae,Carol McRae,,,Allan Wilson,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1143_Mb_Monty_AW_1.jpg"" target=""_blank"">1</a>            ",,2,6,
bigleaf maple,1237,Lumpkin,341,38,1.58,25.4,2022,2022,Cowichan Valley Trail,Lake Cowichan,Parks/reserves,Crown watershed reserve,48.827744,-124.01594,185,"From South Shore Road in Lake Cowichan, turn onto Cowichan Lake Road towards Duncan. Follow for 2.2km until there is a private driveway on the right side of the road across from a solitary new home on the right side of the road (as of Dec. 2022). Keep going another 100m and there will be a short connector trail from Cowichan Lake Road to the Cowichan Valley trail. The Lumpkin is just off the far side of Cowichan Valley Trail in a small clearing.  ","The Lumpkin is a beautiful, limby maple with a thick, burly trunk that is completely coated in lichens and bryophytes. Standing as it does in a clearing allows a full view of the tree from the trail, even when fully leafed out.",Jon Degner,,,,Jon Degner,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1237_Mb_Lumpkin_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1237_Mb_Lumpkin_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1237_Mb_Lumpkin_3.jpg"" target=""_blank"">3</a>      ",,2,6,
bigleaf maple,1235,Bushcamp Maple,327,43.1,1.39,16.5,2022,2022,Highway 18,Lake Cowichan,Institution/corp.,Mosaic,48.833155,-124.020685,266,"Take Highway 18 from Duncan towards Lake Cowichan. Pull off on the north side of the road just before the fire hazard sign. A short scramble up the roadcut leads to gentle terrain, with a 200m hike through a second growth alder and maple forest opening up into a remnant patch of old growth along a seasonal creek. Several large firs >1m in diameter are scattered within a younger cohort of firs, redcedars, and maples. ","The Bushcamp Maple is a large tree standing near the edge of the old growth here, amongst some western redcedars. The large, branching crowns gives this tree a broad stem.",Jon Degner,,,,Jon Degner,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1235_Mb_Bushcamp_1.jpg"" target=""_blank"">1</a>            ",,2,6,
bigleaf maple,1317,,325,28.8,1.79,11.5,2022,2023,Nixon Creek FSR,Honeymoon Bay,Institution/corp.,Mosaic,48.875286,-124.432501,220,Follow Gordon River Road from Lake Cowichan to Caycuse Main,"Previously harvested area along Nixon Creek, where the big leaf maples were spared, and all other trees removed, creates a surreal congregation of very old deciduous trees dominating this ecosystem. Tree is estimated to be 240 years old.",Terry Nelson,,,,Greg Herringer,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1317_Mb_Nixon_TN_1.jpg"" target=""_blank"">1</a>            ",,2,6,
bigleaf maple,1320,,321,26.8,1.74,22,2022,2023,San Juan River,Port Renfrew,Provincial land,San Juan Bridge Rec. Site,48.588068,-124.186672,40,"Turn left after crossing bridge over San Juan River, turn right at wye onto Lens Creek Main, then onto Bear Creek Main. The rec. site is just across the upper San Juan River bridge.","Growing near the ""San Juan Spruce“, this moss and fern covered tree has been in good company for a long time. Tree is estimated to be 250 years old.",Terry Nelson,,,,Terry Nelson,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1320_Mb_SJbridge_TN_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1320_Mb_SJbridge_TN_2.jpg"" target=""_blank"">2</a>         ",,2,6,
bigleaf maple,212,,318,42.7,1.28,24.4,2000,2000,Roche Point,North Vancouver,Municipal/city,,49.308685,-122.966379,,Tree on district land south of Seymour Gold Course.,"Healthy, excellent crown.",Ralf Kelman,,,,Ralf Kelman,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/212_Mb_RocheP_SM_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/212_Mb_RocheP_SM_2.jpg"" target=""_blank"">2</a>         ",,2,6,
bigleaf maple,480,,317,38.1,1.43,18.5,2016,2019,Stanley Park,Vancouver,Parks/reserves,Stanley Park,49.298782,-123.130667,40,"10m west from Avison Way, just north of intersection with a trail located about 150m south of Aquarium. Refer to gps coordinates. ",,Ira Sutherland,,,,Ira Sutherland,b,0,            ,,2,6,
bigleaf maple,448,Wesbrook Ravine Maple,316,46.7,1.2,17.57,2016,2019,Wesbrook Ravine,Vancouver,Municipal/city,Pacific Spirit Park,49.24476111,-123.2341667,60,"From intersection of Wesbrook and Marine Drive, old-growth forest is seen around ravine bowl to the south. This tree is on the right side of the bowl and is not very notable until you see that the highest branch reaches very high.",Grows on moderate slope in old forest. Sandy soil with some erosion. Very upright stem for species - forest grown. First branch at 18.7m. Main stem broken at around 30m. Secondary leader reaches upwards into canopy gap and has thick foliage. Good vigour overall. Minor exposure.,Ira Sutherland,,,,Ira Sutherland,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/448_Mb_IS.jpg"" target=""_blank"">1</a>            ",,2,6,
bigleaf maple,1312,,262,18.7,1.46,24,2022,2023,North Campground,Qualicum Bay,First Nations,Qualicum First Nation,49.400287,-124.6119452,2,Seaside Route highway,Large arbutus is tucked into edge of forest near campsites.,Terry Nelson,,,,Terry Nelson,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1312_Mb_Qualicum_TN_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1312_Mb_Qualicum_TN_2.jpg"" target=""_blank"">2</a>         ",,2,6,
bigleaf maple,1285,,260,23,1.35,22,2022,2023,Short loop trail,Ucluelet,Provincial land,Canoe Creek Rec. Site,49.173891,-125.400316,40,Highway 4,"Situated near not too well worn, short loop trail that is intentionally leading to the Canoe Creek Cedar beside the Kennedy River.",Terry Nelson,,,,Terry Nelson,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1285_Mb_Canoe_TN_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1285_Mb_Canoe_TN_2.jpg"" target=""_blank"">2</a>         ",,2,6,
bigleaf maple,1291,,259,26.8,1.24,22,2022,2023,Old Growth Loop Trail ,Campbell River,Parks/reserves,Elk Falls PP,50.034441,-125.331178,150,Highway 28,"On escarpment above the falls. This easily accessible site is only a short walk from the parking lot, where this mist cloaked, mossy beauty awaits.",Terry Nelson,,,,Terry Nelson,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1291_Mb_ElkFalls_TN_1.jpg"" target=""_blank"">1</a>            ",,3,6,
bigleaf maple,522,Mossy Maple,,,"2.28""",,2020,2020,Mossy Maple Grove,Lake Cowichan,Institution/corp.,TimberWest,hidden,,,,A large bigleaf maple with a split trunk. Half appears to be dead but the other part is alive.,TJ Watt,,,,TJ Watt,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/522_Mb_Mossy_TW.jpg"" target=""_blank"">1</a>            ",,,6,
bitter cherry*,1140,,217,27.9,0.92,14.3,2022,2022,Gates Park,Port Coquitlam,Parks/reserves,Gates Park,49.26125,-122.78769,0,"At the corner of Wilson and Reeve St, there is a path that leads up to the Coquitlam River Trail. The tree is right next to the trail 
and clearly visible. ",Tree is relatively healthy with so much traffic. Grew tall among its fellow trees. Multiple stem tree.,Shaun Muc,,,,Shaun Muc,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1140_Vb_GatesPark_SM_1.jpg"" target=""_blank"">1</a>            ",,1,39,c
bitter cherry*,1141,,177,21.4,0.76,15.6,2022,2022,Pitt R. Greenway Park,Pitt Meadows,Parks/reserves,Pitt R. Greenway Park,49.20567,-122.69681,0,"Park anywhere along the Pitt River Greenway Park trail and follow the path west. The tree is along the river towards the end of 
the trail. Two large Cottonwoods are also close by accompanied by many other cherry, birch, alder and cedar trees",Tree is healthy leaning out over the Fraser River. ,Shaun Muc,,,,Shaun Muc,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1141_Vb_PittRiver_SM_1.jpg"" target=""_blank"">1</a>            ",,1,39,c
bitter cherry*,1172,,175,23.7,0.69,14.4,2022,2022,Rosewall Creek,Mud Bay,Parks/reserves,Rosewall Creek PP,49.45588,-127.77645,21,Along the trail on the north side of the creek. ,Two separate trees. The diameter of the largest stem was measured.,Robert McFetridge,,,,Greg Herringer,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1172_Vb_Rosewall_MB1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1172_Vb_Rosewall_CC2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1172_Vb_Rosewall_CC3.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1172_Vb_Rosewall_CC1.jpg"" target=""_blank"">4</a>   ",,1,39,c
bitter cherry*,1116,,173,28,0.59,10,2022,2022,Spirit Trail,North Vancouver,Municipal/city,Moodyville Park,49.30778,-123.05444,20,"Tree located just 10m south of the Spirit trail in Moodyville park, City of North Vancouver",A healthy tree.,Ian McGillivray,,,,Shaun Muc,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1116_Vb_Moodyville_SM_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1116_Vb_Moodyville_IM_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2023/03/1116_Vb_Moodyville_IM_1.jpg"" target=""_blank"">3</a>      ",,1,39,c
bitter cherry*,366,,169,27.1,0.55,14.1,2014,2014,Maplehurst Park,Port Alberni,Provincial land,,49.27789,-124.80155,27.1,"Access is from the trail to Maplehurst Park at the end of Willow Road.
The tree is visible from the trail, but does not have a recognizable trail leading to it yet.","The bitter cherry tree has a fork in log one and a sweep in log two, and some scars.  The big cherry is joined to  a smaller cherry tree above the germination point.  The tree has healthy foliage and good vigor.  Slope: 0-2%,  Aspect: flat.  Thick sword fern, vanilla leaf, Oregon grape, three-leaved foam flower, and red huckleberry.  Mosses: Step moss, Lanky moss, and Oregon beaked moss.  Also maple, alder, Douglas-fir and red cedar.
Ecology:  CWHXM site series 04(80%) 05 (20%)
Moisture and nutrients 2-4/D-E
CWHXM, Costal Western Hemlock, Very Dry Maritime, CWH subzone
Site index is estimated @ 28-30 for this nutrient-rich site.  Windthrow and plellinus root rot.",Judy Carlson,,,,Ainsley Paul Dagg,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/366_Vp_Alber_JC_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/366_Vp_Alber_JC_2.jpg"" target=""_blank"">2</a>         ",,1,39,c
bitter cherry*,467,,144,25.1,0.44,8,2019,2019,Englishman R. Estuary,Parksville,Parks/reserves,Nature Trust of BC,49.192434,-124.173721,3,"Parksville B.C. East end of Shelly Road. 300 meters from the parking lot along the main trail on the left hand side of the trail, adjacent to the trail.","Forked stem at 10 meters.  Some sapsucker evidence. Surrounded by Coastal Douglas Fir second growth ecosystem with Grand Fir, Western Red Cedar, Red Alder and Bigleaf Maple. Adjacent to the Englishman River Estuary, very fertile good growing site, flat aspect and no slope.",Gary Murdock,,,,Gary Murdock,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/467_Vp_English_GM_2.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/467_Vp_English_GM_3.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/467_Vp_English_RM_1.jpg"" target=""_blank"">3</a>      ",,1,39,c
black cottonwood*,388,,599,47.5,3.4,27.5,2015,2014,Tsea Axe River,New Aiyansh,Parks/reserves,Nisga'a Mem. Lava Bed,55.20941,-129.105275,,"The tree is located on the banks of the Tsea Axe River.  It is roughly 700 meters south of the Nisga highway before the Tsea Axe River bridge heading towards the New Aiyansh turn-off. The tree appears to be a large grove visible from the highway, yet it is just one giant tree.","The tree is double stemmed starting 3 meters from the base, with a large crack extending to the ground. The tree is very healthy with an amazing spread on the crown and a very large eagles nest near the top of the crown. The tree is essentially surrounded by a large lava bed from a volcano that erupted 300 years ago.",Mike Plunkard,,,,Mike Plunkard,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/388_Act_Nisga_MP_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/388_Act_Nisga_MP_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/388_Act_Nisga_MP_3.jpg"" target=""_blank"">3</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/388_IMG_0644.jpg"" target=""_blank"">4</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/388_IMG_0657.jpg"" target=""_blank"">5</a>",,1,37,c
