common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last _measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,tree_type,has_photo,all photo formula
Garry oak,59,,307,24,1.67,24,1984,1984,Wain Rd.,North Saanich,Private land,,48.675706,-123.438707,,"Private land - please respect private property and view from a distance.  Tree is located at 1435 Wain Rd., North Saanich."," For more information see the Heritage Tree Book: Chaster, G.H., D.W. Ross, and W.H. Warren. 1988. Trees of Greater Victoria: A Heritage: A Field Guide to the Arboreal Riches of Greater Victoria.  The tree is located in the CDFmm subzone.",Randy Stoltmann,,,,Randy Stoltmann,b,0,
western redcedar*,60,,873,37,5.96,15,1990,1984,N Cheewhat L.,Youbou,Parks/reserves,Pacific Rim NP,48.7007,-124.75124,25,"North of Cheewhat Lake.  From Rosander Mainline, follow roads T23 and T23B past Doobah Lake to near Park boundary. Rough trail leads to Cheewhat Lake.  The GPS co-ordinates for the trail head are 48.70175, -124.75104.  Tree is near Park boundary, west of the trail and visible from Road T23B.","Tree has a broken top.  South aspect, 30% slope, upper slope, convex.",Randy Stoltmann,,,,Randy Stoltmann,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/60_Cheewhat_North_TW_3.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/60_Cheewhat_North_TW_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/60_Cheewhat_North_TW_1.jpg"" target=""_blank"">3</a>      "
arbutus,62,Seafield Arbutus,289,21,1.62,23,2000,1984,Esquimalt Lagoon,Esquimalt,Private land,,hidden,,10,Private land - exact location is withheld.,A beautiful healthy arbutus on a flat farm close the ocean.  The tree shades an old cottage believed to have been used by Emily Carr.,Al Carder,,,,A MacKinnon,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/62_Ra_Esqu_AC_1.jpg"" target=""_blank"">1</a>            "
Garry oak,63,Genevieve Sangster Oak,284,29.5,1.37,21.9,2000,1984,Mills Rd.,North Saanich,Private land,,48.6558,-123.444491,10,"Private land - please respect private property and view from a distance.  
The tree is on private farmland across from Holy Trinity Church and West Saanich Rd.","Healthy,  on private farmland. The tallest tree in a grove of 12 oaks known as the ""Genevieve Sangster Oaks"".",Al Carder,,,,Hans Roemer,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/63_Qg_mills_AC_1.jpg"" target=""_blank"">1</a>            "
arbutus,64,,313,24.4,1.78,15.24,2002,1984,Garnet Point,Savary Island,Private land,,49.940556,-124.776944,15,Private land - please respect private property and view from a distance.  Savory Shores subdivision.  Owner has fenced the tree to protect it.,Very healthy.,Randy Stoltmann,,,,Kathy Dunster,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/64_Ra_Garne_KD_1.jpg"" target=""_blank"">1</a>            "
Pacific yew*,65,,167,22,0.7,9,1984,1984,Saanich Peninsula,Saanich,Unknown,,missing,,,West of Wallace Drive.,,Al Carder,,,,Al Carder,c,0,
Garry oak,66,,286,24,1.5,24,1984,1984,North Saanich,North Saanich,Unknown,,missing,,,,Healthy.,Al Carder,,,,Al Carder,b,0,
subalpine larch,67,,,,1.23,,1985,1985,Wolverine Pass,Golden,Parks/reserves,Kootenay NP,51.144165,-116.260586,2195,,"ESSFdk, montane.",Larry Halverson,,,,,c,0,
Sitka spruce,69,,718,49,4.37,22,1990,1985,Meares Creek,Tofino,Provincial land,,49.150336,-125.858006,5,"From mouth of Meares Creek, walk upstream approximately 100-150 m. Tree is near creek, on west side, in open grove.",Tree has a snapped top. Level alluvial plain (coastal plain).,Randy Stoltmann,,,,Randy Stoltmann,c,0,
western redcedar*,70,Hanging Garden Tree,865,46.9,5.64,15.3,1998,1985,Meares Creek,Tofino,Provincial land,,49.158184,-125.868061,5,"Follow Great Cedar Trail clockwise from wharf near Morpheus Island to the tree marked ""Hanging Garden Tree"".","Tree is healthy and carries a large crown. The lower trunk is festooned with burls and hemlock seedlings, and above, a massive fluted trunk supports a large head of reiterated trunks, many of which are dead, a characteristic of old red cedars.",Randy Stoltmann,,,,Adrian Dorst,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/70_Cw_Mear_TW_1.jpg"" target=""_blank"">1</a>            "
arbutus,72,,330,32,1.67,23,2000,1986,Foster Point Rd.,Thetis Island,Provincial land,,48.97415,-123.672263,20,"From Thetis Island ferry terminal at Preedy Harbour, follow Foster Point Rd. south for 850 m. Tree is on west side of Rd., 650 m south of Telegraph Harbour turnoff, approximately 30 m north of Highways works yard.",Beside roadway; possible damage from vehicles.,Robert Ringma,,,,Robert Ringma,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/72_Ra_Theti_RR_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/72_Ra_Theti_RR_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/72_Ra_Theti_RR_3.jpg"" target=""_blank"">3</a>      "
whitebark pine*,74,,234,14,1.49,5,1991,1986,Garibaldi Lake,Squamish,Parks/reserves,Garibaldi PP,49.919689,-122.994382,1555,"From Sphinx Bay on Garibaldi Lake, hike south to hanging valley NNW of Guard Mountain. Tree is on knoll at lower end of valley.","Crest of knoll, straight site surface, wind and frost exposure. MHmm2.",Randy Stoltmann,,,,Randy Stoltmann,c,0,
shining willow*,75,,178,25,0.71,9,1986,1986,Pine Point,Lake Cowichan,Parks/reserves,Pine Point Rec Site,48.87842,-124.254736,170,Pine Point Recreation Site,CWHxm2,Edna Slater,,,,Edna Slater,b,0,
western hemlock*,76,,484,46,2.56,20,1998,1986,Florencia Bay,Ucluelet,Parks/reserves,Pacific Rim NP,48.997607,-125.660547,15,"From Florencia Bay, follow beach to headland at west end. Follow rough path over headland. Tree is on the headland although inland from coastal bluffs. Distinguished by size and ""fluted"", buttressed base.","Distingushed by size and ""fluted"" buttressed base. Upland site, level ridge crest. CWHvh1.",Adrian Dorst,,,,Adrian Dorst,c,0,
trembling aspen*,77,,231,20.4,1.23,14.9,1996,1986,Ashworth Point,Hernando Island,Institution/corp.,Hernando Is. Hold. Ltd.,49.963367,-124.907418,35,"Private land - please respect private property and view from a distance. Tree is on Ashworth Point, southeast tip of Hernando Island.","Healthy, vital, top live. CDFmm.  In 2002 this tree was found to be healthy but with multiple broken tops and branches from wind and evidence of butt rot.",Allen Hopwood,,,,Allen Hopwood,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/77_At_ashw_un_1.jpg"" target=""_blank"">1</a>            "
Sitka spruce,78,,,,4.71,,1986,1986,Burnaby Narrows,Moresby Camp,Parks/reserves,Gwaii Haanas NP,52.364636,-131.351536,30,Water access only.,CWHvh2,Richard Krieger,,,,Randy Stoltmann,c,0,
black cottonwood*,80,,420,41,2.18,19,1986,1986,19 Mile Creek,Whistler,Unknown,,50.149437,-122.959715,,,"Tree was reported dead and gone in 1999, and alive by Shaun Muc in 2020.",Randy Stoltmann,,,,Randy Stoltmann,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/80_Act_19Mile_SM.jpg"" target=""_blank"">1</a>            "
subalpine fir*,81,,268,50.3,0.81,4,1987,1987,Tintina Creek,Stewart,Provincial land,,56.082547,-129.236547,280,"Along Hanna and Tintina Creeks, just east of Meziadin Lake. Tintina Creek is next to Bear Glacier Provincial Park.",In 1987 this tree was 210 years old and healthy.,Jim Pojar,,,,Jim Pojar,c,0,
subalpine fir*,82,,262,49.5,0.78,4,1987,1987,Tintina Creek,Stewart,Provincial land,,56.082547,-129.236547,280,"Along Hanna and Tintina Creeks, just east of Meziadin Lake",In 1987 this tree was 150+ years old with heart rot.,Jim Pojar,,,,Jim Pojar,c,0,
coastal Douglas-fir,83,Puntledge Pew,,83,1.87,,1987,1987,Puntledge River,Courtenay,Parks/reserves,Strathcona PP,49.508071,-125.264024,215,"Canoe from Willemar Lake to head of Forbush Lake, follow trail for approximately 1.5 km. tree in grove above trail.","This tree is in a grove of exceptional Douglas-fir 60 to 80 m tall, approximately 25 ha in extent along north side of Puntledge River. Aspect south southwest, 40-45% slope, mid-lower slope, lower - toe mesoslope, concave, alluvial fan.  CWHmm1.",Randy Stoltmann,,,,Randy Stoltmann,c,0,
western redcedar*,84,Cheewhat Giant,917,55.5,5.84,16,1998,1988,E Cheewhat L.,Youbou,Parks/reserves,Pacific Rim NP,48.69395,-124.74459,,"For good access directions to this tree, see ""Vancouver Island Big Trees""  http://vancouverislandbigtrees.blogspot.ca/2010/06/directions-to-cheewhat-lake-cedar-trail.html.
The GPS co-ordinates for the trail head leading to tree #89 and #84 are 48.69273, -124.73593.","In coastal rain forest, and in dense salal-huckleberry 30' high brush, about 1 km from a mainline road, and among many other very large cedars. Aspect west, slope 40-50%, upper mesoslope, convex.  

In 2006 the tree was observed to be very healthy with cambium intact for about 90% of the circumference - even the small scar where it is absent does not extend very far up the trunk. Above 40' the trunk breaks up into multiple stems.",Maywell Wickheim,,,,Robert VanPelt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/84_Cw_Chee_TW_2.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/84_Cw_Chee_TW_1.jpg"" target=""_blank"">2</a>         "
mountain hemlock*,85,,374,45,1.74,15,1990,1988,Black Mountain,North Vancouver,Parks/reserves,Cypress PP,49.402286,-123.216342,900,"From old Sunset Creek Trail, hike cross-country south to base of large talus slope. Tree is in talus, near top, below cliffs (visible from Bowen Island Lookout-Howe Sound Crest Trail).","Aspect west, slope approximately 60-65%, middle slope, concave, avalanche deposition zone. MHmm1, montane.",Randy Stoltmann,,,,Randy Stoltmann,c,0,
mountain hemlock*,86,,391,45,1.91,11,1994,1988,Hollyburn Mountain,West Vancouver,Parks/reserves,Cypress PP,49.399637,-123.188766,1130,"From Cypress Bowl ski area, follow Baden Powell Trail east, cross tributary of Cypress Creek, then follow rough trail up east side of creek to Old Strachan Trail. Tree is above trail about 100 m and slightly west, near base of clearing below bluffs.",Middle mesoslope below bluffy area. Aspect west. MHmm1,Randy Stoltmann,,,,Randy Stoltmann,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/86_Hm_Hollyburn_sm.jpg"" target=""_blank"">1</a>            "
Sitka spruce,87,Carmanah Giant,704,96,3.05,14,1990,1988,Carmanah Creek,Youbou,Parks/reserves,Carmanah Walbran PP,48.613313,-124.718959,15,"The tree is located on the east bank of Carmanah Creek, 1.3 km upstream from mouth of creek.","This tree is one of the tallest known trees in Canada. West southwest aspect, 75% slope, lower slope, straight (seepage site, lower mesoslope, concave).",Randy Stoltmann,,,,Randy Stoltmann,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/87_Ss_Carm_Giant_IS_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/87_Ss_Carm_Giant_IS_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/87_Ss_carm_KL_1.jpg"" target=""_blank"">3</a>      "
interior Douglas-fir,88,,301,34,1.4,20,1988,1988,Mabel Lake Rd,Lumby,Provincial land,,missing,,,,,W. Deuling,,,,W. Deuling,c,0,
western redcedar*,89,,870,56,5.43,15,1991,1988,E Cheewhat L.,Youbou,Parks/reserves,Pacific Rim NP,48.69431,-124.74458,,"East of Cheewhat Lake. From Rosander Mainline, follow cat track and backspar trail along west side of 1987 clearcut (Park boundary). Rough trail through blowdown and forest leads to tree, 45 minutes from road. The GPS co-ordinates for the trail head leading to tree #89 and #84 are 48.69273, -124.73593.","In a coastal rain forest, in dense salal-huclkeberry 30' high brush, about 1 km from a mainline road, and among many other very large cadars. Aspect west, slope 40-50%, upper mesoslope, convex.",Randy Stoltmann,,,,Randy Stoltmann,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/89_Cheewhat_89_TW_1.jpg"" target=""_blank"">1</a>            "
yellow-cedar*,90,,466,40,2.64,11,1989,1989,Kowus Creek,Tofino,Parks/reserves,Strathcona PP,49.52381,-125.889408,915,On the west fork of Kowus Creek.  A 4-5 day cross-country hike from Clayoquot Sound or Buttle Lake.,"South aspect, approximately 75% slope, middle slope (macro), upper slope (meso), convex. Other large (1.5-2 m DBH) specimens in vicinity. MHmm1, montane.",Randy Stoltmann,,,,Randy Stoltmann,c,0,
shore pine,91,,200,18,1.03,15,1995,1989,Constance Ave.,Esquimalt,Private land,,48.431081,-123.417664,15,"Private land - please respect private property and view from a distance.  Tree is located at 611 Constance Ave, Esquimalt.",,Robert VanPelt,,,,Robert VanPelt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/91_Pcc_Esquimalt_AL_3.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/91_Pcc_Esquimalt_AL_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/91_Pcc_Esquimalt_AL_1.jpg"" target=""_blank"">3</a>      "
coastal Douglas-fir,94,Caycuse Fir,620,63,3.2,21,1990,1990,Caycuse,Youbou,Provincial land,,missing,,,,,Ralf Kelman,,,,Ralf Kelman,c,0,
coastal Douglas-fir,95,Chittenden Fir,610,85,2.54,20,1990,1990,Lower Seymour CR,North Vancouver,Parks/reserves,Lower Seymour CR,missing,,,,,Ralf Kelman,,,,Ralf Kelman,c,0,
Sitka spruce,99,,760,60,4.37,27,1990,1990,Nasparti River,Port Alice,Parks/reserves,Brooks Peninsula PP,50.197214,-127.60189,6,"Tree is located in Brooks Peninsula Park.  From Nasparti River estuary, follow east side of river upstream for approximately 1200 m. Tree is in grove of large spruces, approximately 50 m east of river.",Tree with huge taper-overinflating its size. Valley floor alluvial site.,Randy Stoltmann,,,,Randy Stoltmann,c,0,
Engelmann spruce,100,,360,44,1.67,12,1991,1990,Hurley River,Gold Bridge,Provincial land,,50.663455,-123.065058,1205,"From Hurley Road between Gold Bridge and Railroad Pass, turn west on to Upper Hurley River logging road. Drive approximately 5.5 km. Tree is below road, about 15 m from road in fire break. (Another large specimen is north of road, about 150 m east.)","South aspect, 0-5% slope, toe of slope, concave. ESSFmw, montane.",Randy Stoltmann,,,,Randy Stoltmann,c,0,
whitebark pine*,101,,254,18,1.52,8,1990,1990,Lakes Creek,Mount Currie,Parks/reserves,Stein V. Nlaka'pamux HP,50.165844,-122.050631,1799,"West fork of Lakes Creek, Stein River valley. Two day cross country hike from end of Kwoiek Creek logging roads, or long day cross country hike from Stein Vally trail at upper cable crossing.","Westnorthwest aspect, 40-45% slope, midslope, straight (upper mesoslope, convex). Alpine tundra.",Randy Stoltmann,,,,Randy Stoltmann,c,0,
coastal Douglas-fir,102,Cathedral Grove #1,645,70.1,3.22,20.7,1990,1990,Catherdral Grove,Alberni,Parks/reserves,MacMillan PP,missing,,,,"This tree was once the tallest in Cathedral Grove and one of BC's largest Douglas-fir on record. In 1990, it stood 70.1 m (230 ft) tall with a score of 645 points.  A major windstorm in January 1997 swept through the area and reduced this tree to a little over 100ft in height.  Those surviving the storm, which are now the tallest in the grove, have yet to be nominated.",Randy Stoltmann,,,,Randy Stoltmann,c,0,
Engelmann spruce,104,,,44.5,1.57,,1991,1991,Hurley River,Gold Bridge,Provincial land,,50.663455,-123.065058,,This tree is 150 m east from the tree with the ID# of 100.,"South aspect, 0-5% slope, toe of slope, concave.  ESSFmw, montane.",Randy Stoltmann,,,,Randy Stoltmann,c,0,
yellow-cedar*,105,Admiral Broeren,575,46.9,3.31,14.3,1997,1991,Memekay River,Campbell River,Institution/corp.,WFP,50.108394,-125.787547,564,"Tree is located above Road M31, Memekay River. Access is off Memekay-Salmon hookup. MacMillan Bloedel Menzies Bay Division.","Straight cylindrical bole, single stem, ‘stovepipe form,’ large burl on up slope side of base of trunk.  Mid-slope on mountainside, CWHmm1, montane. 

This one of the largest known yellow-cedars.  Wood volume = 188 cubic meters [1997, R. VanPelt].",Bill Beese,Robert Van Pelt,,,Bill Beese,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/105_Yc_meme_MM_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/105_Yc_meme_un_1.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/105_Yc_meme_un_2.jpg"" target=""_blank"">3</a>      "
yellow-cedar*,106,General Buxton,572,45.1,3.32,15.2,1997,1991,Bigtree Creek,Sayward,Unknown,,50.308938,-125.761047,810,Head of west branch of Bigtree Creek. Follow Venus Main to head of west branch of Bigtree Creek. Tree is above and east of the end of Road V20 at 810 m elevation.,"Tree has a large burl at the base, and appears to be two stems that fused together at an early age.  In 1991 the double stem, ring count age = 789 years in 36.5 cm core, 80 years in outer 1.2 cm: estimated total age = 1500-2000 years.  

Mid-slope on southern aspect mountainside. Near upper edge of clearcut; possible windthrow risk. CWHmm2, montane.  

Wood volume = 127 cubic metres [1997, R. VanPelt].",Bill Beese,Robert Van Pelt,,,Bill Beese,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/106_Yc_buxton_un_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/106_Yc_buxton_un_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/106_Yc_buxton_un_3.jpg"" target=""_blank"">3</a>      "
Pacific yew*,107,,198,23.5,0.91,10.4,1991,1991,Capilano Lake,North Vancouver,Watersheds,Capilano Watershed,no access,,180,No public access,"Northeast to southeast aspect, mid-macro slope, generally concave. CWHvm1, montane.",Ralf Kelman,,,,Ralf Kelman,c,0,
Pacific yew*,108,,184,25.6,0.74,10.4,1991,1991,Capilano Lake,North Vancouver,Watersheds,Capilano Watershed,no access,,180,No public access,"Northeast to southeast aspect, mid-macro slope, generally concave. CWHvm1, montane.",Ralf Kelman,,,,Ralf Kelman,c,0,
Pacific yew*,109,,181,18.3,0.91,10.4,1991,1991,Capilano Lake,North Vancouver,Watersheds,Capilano Watershed,no access,,180,No public access,"Northeast to southeast aspect, mid-macro slope, generally concave. CWHvm1, montane.",Ralf Kelman,,,,Ralf Kelman,c,0,
Pacific yew*,110,,179,17.7,0.91,9.1,1991,1991,Capilano Lake,North Vancouver,Watersheds,Capilano Watershed,no access,,180,No public access,"Northeast to southeast aspect, mid-macro slope, generally concave. CWHvm1, montane.",Ralf Kelman,,,,Ralf Kelman,c,0,
Pacific yew*,111,,175,21.3,0.78,11,2006,1991,Lynn Headwaters,North Vancouver,Parks/reserves,Lynn Headwaters RP,missing,,,Lynn Headwaters east of #5 trail.,,Ralf Kelman,,,,Ralf Kelman,c,0,
Pacific yew*,112,,,13.7,1.14,,1991,1991,Muir Creek,Sooke,Provincial land,,48.436896,-123.890591,,Muir Creek is west of Sooke on Vancouver Island.,CWHxm2,Glen McTaggart,,,,Glen McTaggart,c,0,
subalpine larch,113,,190,21.6,0.88,12.2,1999,1999,Mount Frosty,Hope,Parks/reserves,EC Manning PP,49.015967,-120.829431,2043,"EC Manning Provincial Park. From Mount Frosty trail, descend talus to east of saddle before final climb to peak. Tree is located in open grove of larch below talus slopes, on bluffy terrain.","Aspect east, slope approx. 40-45%, middle slope, convex. Alpine Tundra zone.",Randy Stoltmann,,,,Randy Stoltmann,c,0,
lodgepole pine,114,,184,19.8,0.91,7.6,1991,1991,Tyaughton Creek,Gold Bridge,Provincial land,,51.089731,-123.06854,1677,"Tree located approximately 10 m north of Tyaughton Creek Trail, approximately 500 m WNW of Deer Pass trail junction.","Southwest aspect, level valley bottom at toe of slope. ESSFxc.",Randy Stoltmann,,,,Randy Stoltmann,c,0,
Sitka spruce,115,Maxine's Tree,797,80.8,4.18,18.3,1999,1991,West Walbran Cr.,Youbou,Parks/reserves,Carmanah Walbran PP,48.669013,-124.599967,160,"Located in Carmanah Walbran Forest. From MacMillan Bloedel Road H-1000, follow West Walbran Trail south, past Anderson Lake, to a point approximately 800 m south of Anderson Lake on east bank of creek. Tree is near trail at forest edge.","This is beautiful healthy and straight tree is a ""veteran"" in a younger stand.  It is found growing deep in unlogged coastal rain forest valley. West southwest aspect, 5-10% slope, lower slope. The 1998 calculated wood volume is 266 cubic meters (R. VanPelt).",Randy Stoltmann,,,,Not known,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/03/115_Ss_Maxine_TW_1.jpg"" target=""_blank"">1</a>            "
paper birch*,119,,239,25.9,1.1,21.9,1992,1992,Skumalasph Island,Deroche,First Nations,,49.190739,-122.043345,6,"First Nation Reserve - please contact First Nations for permission.  

From Highway 7, 200 m south of Nicomen Slough bridge, drive ENE for 1 km along road to Zaitscullachan Slough, turn left, then right across slough. Follow bushy track into big trees - approximately 1000 m from road.",River floodplain site. Exceptional black cottonwood trees nearby. CWHdm.,Will Koop,,,,Ralf Kelman,b,0,
